"SalePrice","BsmtFinSF1","GarageCars","YearBuilt","OpenPorchSF","WoodDeckSF","YearRemodAdd","HouseStyle","BsmtFinType2","Foundation","RoofStyle","Exterior1st","LandSlope"
254900,222,2,2004,136,0,2005,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
320000,57,2,2005,132,239,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
162500,660,2,1984,0,0,1984,"1Story","Unf","PConc","Gable","Plywood","Gtl"
220000,1201,2,2005,70,0,2005,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
152000,370,1,1926,0,0,2004,"1Story","Unf","BrkTil","Gable","MetalSd","Gtl"
190000,379,1,1955,0,476,1993,"1Story","Other","CBlock","Hip","Wd Sdng","Gtl"
228000,0,2,1981,64,574,1981,"1Story","Unf","CBlock","Hip","Plywood","Gtl"
128500,360,2,1941,0,237,1950,"1.5Fin","Unf","CBlock","Gable","MetalSd","Gtl"
239000,495,2,1987,35,441,1987,"2Story","Other","PConc","Gable","HdBoard","Gtl"
163000,288,2,1961,20,0,1961,"1Story","Other","CBlock","Gable","Other","Gtl"
184000,1398,2,1986,0,192,1986,"1Story","Other","CBlock","Gable","VinylSd","Gtl"
211000,831,2,1988,228,0,1989,"2Story","Unf","PConc","Gable","Plywood","Gtl"
172500,57,2,1958,0,0,1958,"1.5Fin","Other","CBlock","Gable","MetalSd","Gtl"
501837,1904,3,2008,60,0,2009,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
1e+05,0,2,1923,0,0,2006,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
200100,352,1,1920,0,0,1950,"2Story","Unf","BrkTil","Gable","Other","Gtl"
120000,0,1,1957,0,116,2006,"1Story","Other","PConc","Hip","Wd Sdng","Gtl"
475000,0,3,1892,260,0,1993,"Other","Unf","BrkTil","Gable","Wd Sdng","Gtl"
173000,611,2,1990,27,168,1991,"SLvl","Unf","PConc","Gable","HdBoard","Gtl"
135000,0,1,1916,0,0,1987,"1.5Fin","Unf","CBlock","Gable","HdBoard","Gtl"
286000,1153,2,2001,120,0,2002,"1Story","Unf","PConc","Gable","CemntBd","Gtl"
315000,297,2,1932,74,0,1994,"2Story","Unf","CBlock","Hip","BrkFace","ModOrSev"
184000,626,2,1972,32,0,2004,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
192000,560,2,1999,35,0,1999,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
130000,0,2,2004,40,0,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
127000,390,1,1972,0,0,1972,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
148500,566,2,1976,0,87,1976,"2Story","Unf","CBlock","Gable","Plywood","Gtl"
235000,1036,2,1918,16,0,1990,"2Story","Other","PConc","Gable","Other","Gtl"
274900,1088,3,2004,26,0,2005,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
140000,0,2,2003,64,132,2004,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
112000,617,1,1924,0,0,1950,"1.5Fin","Unf","BrkTil","Gable","MetalSd","Gtl"
180500,0,2,1990,34,0,1990,"1Story","Unf","PConc","Gable","HdBoard","Gtl"
141000,419,1,1960,0,355,1960,"1Story","Other","PConc","Gable","Wd Sdng","Gtl"
277000,1065,2,1988,55,60,1989,"2Story","Unf","CBlock","Gable","Plywood","ModOrSev"
145000,787,2,1964,0,0,1964,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
186000,36,2,2009,22,100,2009,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
252678,822,2,2009,108,168,2009,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
156000,716,2,1995,0,224,1995,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
161750,378,1,1977,36,0,1977,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
134450,360,1,1957,0,0,1996,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
107000,0,1,1925,172,0,1950,"2Story","Unf","CBlock","Gable","MetalSd","Gtl"
311500,341,2,1939,119,0,2006,"1.5Fin","Unf","CBlock","Gable","VinylSd","Gtl"
167240,16,2,2005,0,108,2006,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
204900,0,2,2006,33,351,2006,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
2e+05,0,2,2002,46,120,2002,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
179900,550,2,1975,208,209,1975,"2Story","Unf","CBlock","Gable","VinylSd","Gtl"
97000,524,2,1971,0,216,1971,"1Story","Other","CBlock","Gable","HdBoard","Gtl"
386250,56,3,2003,105,248,2003,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
112000,0,1,1971,0,0,1971,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
290000,565,3,1995,114,224,1995,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
106000,321,1,1970,0,0,1970,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
125000,842,1,1967,0,0,1967,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
148000,0,1,1959,0,0,1959,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
403000,689,3,1995,146,0,1996,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
89500,358,1,1971,0,0,1971,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
194500,402,2,1993,70,370,2003,"2Story","Unf","PConc","Gable","HdBoard","Gtl"
318000,0,3,2007,228,168,2007,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
113000,94,1,1945,140,0,1950,"1.5Fin","Unf","CBlock","Gable","VinylSd","Gtl"
79000,0,1,1900,0,0,1950,"1.5Fin","Unf","BrkTil","Gable","Wd Sdng","Gtl"
205000,695,2,1994,130,0,2002,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
241500,929,2,1988,39,197,1988,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
137000,0,1,1910,60,0,1950,"2Story","Unf","Other","Gable","Other","Gtl"
180000,0,2,2003,68,144,2003,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
277000,697,2,1958,98,0,2006,"1.5Fin","Unf","CBlock","Gable","Wd Sdng","ModOrSev"
235000,1573,2,2006,0,123,2007,"1Story","Unf","PConc","Hip","VinylSd","ModOrSev"
173000,0,2,2004,45,138,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
158000,270,1,1964,0,333,1991,"SLvl","Other","CBlock","Hip","HdBoard","Gtl"
145000,922,1,1957,0,250,1957,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
230000,0,2,1999,0,192,1999,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
207500,503,2,2003,56,216,2003,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
220000,1334,2,2006,110,123,2006,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
231500,361,2,2001,96,0,2001,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
176000,672,2,1962,0,0,1962,"SLvl","Other","CBlock","Gable","Wd Sdng","Gtl"
276000,0,3,2007,148,0,2007,"2Story","Unf","PConc","Gable","CemntBd","Gtl"
151000,506,2,1977,12,292,1995,"SLvl","Unf","CBlock","Gable","HdBoard","Gtl"
130000,234,2,1929,0,0,2001,"1.5Fin","Other","BrkTil","Gable","Wd Sdng","Gtl"
73000,0,2,1925,0,0,2004,"1Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
179500,378,1,1939,24,262,1997,"Other","Unf","PConc","Gable","Wd Sdng","ModOrSev"
120500,403,1,1940,25,0,1955,"1Story","Other","CBlock","Gable","VinylSd","Gtl"
148000,751,1,1976,30,370,1976,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
266000,0,3,2006,51,192,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
241500,226,2,1954,0,81,2005,"1Story","Other","CBlock","Other","Plywood","ModOrSev"
290000,524,3,1999,57,132,2007,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
139000,620,1,1958,0,289,1988,"1Story","Other","CBlock","Hip","Wd Sdng","Gtl"
124500,546,1,1982,0,168,1982,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
205000,0,2,1925,0,74,2007,"1.5Fin","Unf","BrkTil","Gable","Wd Sdng","Gtl"
141000,120,2,1951,0,0,1951,"1Story","Unf","CBlock","Gable","VinylSd","Gtl"
415298,0,3,2006,98,124,2007,"1Story","Unf","PConc","Gable","CemntBd","Gtl"
192000,392,2,1977,117,288,1977,"2Story","Unf","CBlock","Hip","Plywood","Gtl"
228500,421,2,1989,84,0,1989,"2Story","Unf","CBlock","Gable","Plywood","Gtl"
207500,904,2,2007,62,172,2008,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
244600,0,3,2008,150,210,2009,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
179200,430,2,1992,0,0,1992,"1Story","Unf","PConc","Gable","Plywood","Gtl"
164700,0,2,2006,54,0,2007,"2Story","Unf","PConc","Gable","MetalSd","Gtl"
159000,600,2,1962,0,0,1981,"1.5Fin","Unf","CBlock","Gable","Wd Sdng","Gtl"
122000,450,1,1967,0,0,1967,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
233230,0,2,2006,51,0,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
131000,292,1,1949,0,0,2008,"1.5Fin","Unf","CBlock","Gable","Wd Sdng","Gtl"
235000,795,2,1977,250,0,1994,"2Story","Unf","CBlock","Gable","Plywood","Gtl"
167000,1285,2,1953,0,110,1953,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
142500,819,2,1984,0,120,1984,"SLvl","Unf","CBlock","Gable","HdBoard","Gtl"
175000,384,2,1968,0,224,1968,"2Story","Other","CBlock","Other","HdBoard","Gtl"
158500,0,1,1950,36,0,2004,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
157000,841,1,1953,0,0,1953,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
205000,0,3,2001,81,468,2002,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
295000,0,3,1880,0,302,2002,"Other","Unf","BrkTil","Gable","CemntBd","Gtl"
225000,700,3,1990,44,127,1991,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
82500,262,2,1940,0,158,1950,"1Story","Unf","CBlock","Gable","VinylSd","Gtl"
360000,1274,3,2003,175,208,2004,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
165600,518,2,1993,63,190,1994,"2Story","Unf","PConc","Gable","HdBoard","Gtl"
119900,507,2,1939,0,0,1950,"1.5Fin","Unf","CBlock","Gable","MetalSd","Gtl"
375000,1236,2,1965,0,0,1965,"1Story","Other","CBlock","Hip","BrkFace","ModOrSev"
178000,16,2,1925,0,0,1990,"2Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
188500,425,2,2004,51,100,2005,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
260000,692,2,1980,195,288,1980,"2Story","Unf","CBlock","Gable","CemntBd","Gtl"
270000,0,3,2006,46,208,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
187500,1036,2,1980,48,233,1980,"SLvl","Unf","CBlock","Gable","Plywood","Gtl"
342643,0,3,2006,154,240,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
354000,970,3,2004,154,184,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
301000,28,2,1986,96,201,1987,"2Story","Other","CBlock","Gable","Plywood","Gtl"
126175,256,1,1955,98,142,2005,"1Story","Unf","CBlock","Gable","VinylSd","Gtl"
242000,0,2,1967,0,240,2007,"SLvl","Unf","CBlock","Other","Wd Sdng","Gtl"
87000,116,2,1941,0,0,1950,"Other","Unf","CBlock","Gable","MetalSd","Gtl"
78000,0,1,1920,0,0,1950,"2Story","Unf","PConc","Gable","Wd Sdng","Gtl"
119000,40,1,1964,0,155,1964,"1Story","Other","CBlock","Gable","HdBoard","Gtl"
192000,828,2,1998,38,100,1998,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
228950,1249,2,1965,0,670,1965,"1.5Fin","Other","CBlock","Gable","Plywood","ModOrSev"
377426,1249,3,2005,51,178,2006,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
214000,810,2,2002,74,192,2003,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
155000,585,1,1958,0,0,1998,"1Story","Unf","CBlock","Hip","Wd Sdng","Gtl"
202900,0,2,2002,0,135,2002,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
82000,0,1,1950,0,250,1950,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
87500,0,2,1949,0,0,1950,"1Story","Other","Other","Gable","Other","Gtl"
85000,129,1,1976,0,182,1976,"2Story","Other","CBlock","Gable","CemntBd","Gtl"
151500,498,1,1960,0,0,1998,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
157500,1270,2,1960,40,0,1960,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
154000,573,2,2003,27,0,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
318061,0,2,2007,54,210,2007,"1Story","Unf","PConc","Hip","MetalSd","Gtl"
190000,1082,2,1986,80,0,1986,"1Story","Unf","PConc","Gable","Wd Sdng","ModOrSev"
95000,236,1,1941,0,48,1950,"1.5Fin","Other","CBlock","Gable","VinylSd","Gtl"
140000,388,1,1940,0,0,2000,"1.5Fin","Unf","CBlock","Gable","Wd Sdng","Gtl"
173000,560,2,1992,26,120,1992,"1Story","Unf","PConc","Gable","HdBoard","Gtl"
134000,874,2,1976,90,536,1976,"1Story","Unf","PConc","Gable","CemntBd","Gtl"
280000,956,2,1998,75,208,1998,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
156000,773,2,1978,0,0,1978,"Other","Unf","CBlock","Gable","VinylSd","Gtl"
198500,0,2,2003,0,0,2003,"Other","Other","Other","Gable","HdBoard","Gtl"
118000,162,1,1972,0,250,2007,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
190000,712,2,1976,111,306,1976,"2Story","Unf","PConc","Gable","HdBoard","Gtl"
147000,456,1,1920,128,0,1997,"2Story","Unf","CBlock","Hip","VinylSd","Gtl"
159000,609,2,1963,76,0,1963,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
165000,371,1,1962,110,64,1962,"SLvl","Unf","CBlock","Gable","Plywood","Gtl"
132000,540,1,1954,98,0,1954,"1Story","Unf","PConc","Gable","HdBoard","Gtl"
162000,72,2,1959,17,364,2006,"1Story","Other","CBlock","Gable","Wd Sdng","Gtl"
172400,0,2,2000,40,100,2000,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
134432,0,2,1959,59,0,1959,"1.5Fin","Other","CBlock","Gable","Other","Gtl"
125000,623,1,1984,0,353,1984,"1Story","Other","CBlock","Gable","Plywood","Gtl"
123000,428,1,1953,0,66,1953,"1Story","Other","PConc","Gable","MetalSd","Gtl"
219500,0,2,2003,48,100,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
148000,298,2,1996,0,0,1996,"Other","Unf","PConc","Gable","VinylSd","Gtl"
340000,0,2,2004,214,159,2005,"2Story","Unf","PConc","Gable","CemntBd","Gtl"
394432,1445,3,2010,0,113,2010,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
179000,0,2,2000,63,100,2000,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
213500,0,2,2006,53,144,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
240000,985,2,1992,231,216,1992,"2Story","Unf","PConc","Gable","HdBoard","ModOrSev"
125000,631,1,1976,0,296,1976,"SLvl","Unf","CBlock","Hip","MetalSd","Gtl"
191000,0,2,1999,25,120,2000,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
426000,1280,3,2007,134,196,2008,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
215000,690,2,2001,192,125,2002,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
106500,0,1,1959,0,0,1959,"1Story","Other","Other","Gable","MetalSd","Gtl"
109000,0,1,1940,39,0,1950,"1.5Fin","Unf","CBlock","Gable","MetalSd","Gtl"
129000,739,1,1956,0,44,1956,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
123000,777,2,1972,0,215,1972,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
169500,540,1,1962,168,0,1962,"2Story","Unf","CBlock","Gable","VinylSd","Gtl"
241000,812,2,2006,168,0,2007,"2Story","Unf","PConc","Gable","CemntBd","Gtl"
245500,786,2,1996,30,120,1996,"1Story","Unf","PConc","Gable","BrkFace","Gtl"
164990,24,2,2005,0,0,2005,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
108000,0,1,1940,0,168,1997,"1Story","Unf","PConc","Gable","Wd Sdng","Gtl"
258000,0,2,1998,123,144,1998,"2Story","Unf","PConc","Hip","VinylSd","Gtl"
168000,0,2,1995,40,0,1996,"2Story","Unf","PConc","Gable","MetalSd","Gtl"
150000,1116,2,1976,78,120,1993,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
115000,0,1,1936,0,0,1950,"1.5Fin","Unf","BrkTil","Gable","MetalSd","Gtl"
177000,0,1,1915,0,0,1976,"2Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
145000,1056,2,1955,0,264,1955,"1Story","Unf","CBlock","Hip","Wd Sdng","Gtl"
222000,578,2,2009,144,0,2009,"1Story","Unf","PConc","Gable","MetalSd","Gtl"
115000,0,2,1927,0,0,1950,"1Story","Unf","CBlock","Gable","Other","Gtl"
181134,24,2,2007,30,100,2007,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
149500,209,2,1978,0,0,1978,"2Story","Unf","CBlock","Hip","HdBoard","Gtl"
